Genus,DNA G+C content (mol%),min,max
Peptostreptococcus,34-36,34,36
Filifactor,34,34,34
Tepidibacter,24-29,24,29
Anaerococcus,30-35,30,35
Finegoldia,32-34,32,34
Fusibacter,43,43,43
Gallicola,32-34,32,34
Helcococcus,29-29.5,29,29.5
Micrococcus(1),28-30,28,30
Micrococcus(2),65-75,65,75
Peptoniphilus,30-34,30,34
Sedimentibacter,34,34,34
Sporanaerobacter,32.2,32.2,32.2
Tindallia,28-32,28,32
Anaerotruncus,53-54,53,54
Acetanaerobacterium,49-50,49,50
Anaerofilum,54-55,54,55
Clostridium.cellulosi,35,35,35
Clostridium.leptum,51-52,51,52
Clostridium.sporosphaeroides,27,27,27
Ethanoligenens,48-49,48,49
Faecalibacterium,47-57,47,57
Ruminococcus,39-46,39,46
Subdoligranulum,52,52,52
Acetonema,51.5,51.5,51.5
Pelosinus,41,41,41
Propionispora,42-48,42,48
Anaerosinus,35,35,35
Dendrosporobacter,52.0-54.0,52,54
Anaeroglobus,51.8,51.8,51.8
Megasphaera(1),53.1-54.1,53.1,54.1
Megasphaera(2),40.5-46.3,40.5,46.3
Veillonella,40.3-44.4,40.3,44.4
Acidaminococcus,56.6,56.6,56.6
Mitsuokella,56-58,56,58
Bacteroides,40-48,40,48
Prevotella,40-60,40,60
Porphyromonas,46-51,46,51
Selenomonas,54-61,54,61
Eikenella,56-58,56,58
Hallella,58,58,58
Phascolarctobacterium,41-42,41,42
Succiniclasticum,52,52,52
Succinispira,36,36,36
Anaerobaculum,44-51.5,44,51.5
Aminobacterium,44-46,44,46
Aminomonas,43,43,43
Dethiosulfovibrio,51-56,51,56
Synergistes,57-59,57,59
Thermoanaerovibrio,54.6-56.5,54.6,56.5
Halanaerobium,27-34,27,34
Halocella,29,29,29
Halothermothrix,39.6,39.6,39.6
Halobacteroides,30-31,30,31
Acetohalobium,33.6,33.6,33.6
Halanaerobacter,31.6-34.8,31.6,34.8
Halonatronum,34.4,34.4,34.4
Natroniella,31.9,31.9,31.9
Orenia,28.6-33.7,28.6,33.7
Selenihalanaerobacter,31.2,31.2,31.2
Sporohalobacter,31.5,31.5,31.5
Thermanaeromonas,49.6,49.6,49.6
Ammonifex,54,54,54
Caldanaerobacter,33-41,33,41
Thermoanaerobacter,29-41,29,41
Thermovenabulum,36,36,36
Erysipelothrix,36-40,36,40
Brochothrix,35.6-36.1,35.6,36.1
Kurthia,36.7-37.9,36.7,37.9
Listeria,36-38,36,38
Corynebacterium,51-65,51,65
Solobacterium,38,38,38
Holdemania,38,38,38
Propionibacterium,59-66,59,66
Lactobacillus,32-53,32,53
Bifidobacterium,57-64,57,64
Planococcus,39-52,39,52
Sporosarcina(1),40-44,40,44
Sporosarcina(2),40-42,40,42
Planomicrobiumb,35-47,35,47
Sporolactobacillus,43-50,43,50
Amphibacillus,36-42,36,42
Bacillus,32-66,32,66
Brevibacillus,40-57,40,57
Paenibacillus,40-54,40,54
Thermoactinomyces,48,48,48
Laceyella,48-49,48,49
Mechercharimyces,44.9-45.2,44.9,45.2
Planifilum,58.7-60.3,58.7,60.3
Seinonella,40,40,40
Shimazuella,39.4,39.4,39.4
Thermoflavimicrobium,43,43,43
Paralactobacillus,46,46,46
Allofustis,39,39,39
Atopostipes,44,44,44
Alkalibacterium,39-41,39,41
Carnobacterium,33-37,33,37
Desemzia,40,40,40
Isobaculum,39,39,39
Heterofermentative Lactobacillus,33-55,33,55
Homofermentative Lactobacillus,32-53,32,53
Leuconostoc,37-44,37,44
Marinilactibacillus,34-36,34,36
Pilibacter,38,38,38
Weissella,37-47,37,47
Alloiococcus,44-45,44,45
Dolosigranulum,40.5,40.5,40.5
Marilactibacillus,34.6-36.2,34.6,36.2
Acetobacterium,39-46,39,46
Pseudoramibacter,61,61,61
Sporobacterium,38,38,38
Sporobacter,57,57,57
Eubacterium,35.7,35.7,35.7
Sporotomaculum,48,48,48
Peptococcus,50-51,50,51
Cryptaerobacter,51,51,51
Dehalobacter,45.0-45.6,45,45.6
Desulfitobacterium,45.8-48.8,45.8,48.8
Desulfonispora,52,52,52
Desulfosporosinus,41.6-46.9,41.6,46.9
Desulfotomaculum,37.5-56.3,37.5,56.3
Pelotomaculum,52.8-53.6,52.8,53.6
Sporomaculum,46.8-48.0,46.8,48
Syntrophobotulus,46.7,46.7,46.7
Thermincola,45-48,45,48
Parvimonas,28-30,28,30
