Genus,Growth temperature(optimum _C),min,max
Acetonema,30-33,30,33
Pelosinus,22-30,22,30
Sporotalea,19-35,19,35
Propionispora,35-37,35,37
Anaerosinus,37,37,37
Dendrosporobacter,25-30,25,30
Anaerobaculum(1),28-65 (55-60),28,65
Anaerobaculum(2),28-65 (55-60),55,60
Aminobacterium,20-42 (37),20,42
Aminomonas,20-40 (35),20,40
Dethiosulfovibrio(1),4-45 (25-42),4,45
Dethiosulfovibrio(2),4-45 (25-42),25,42
Synergistes,37-39,37,39
Thermoanaerovibrio(1),40-70 (50-65),40,70
Thermoanaerovibrio(2),40-70 (50-65),50,65
Halothermothrix,60,60,60
Halocella,39,39,39
Halanaerobium,34-42,34,42
Thermanaeromonas,55-73,55,73
Ammonifex,57-77,57,77
Caldanaerobacter,50-85,50,85
Thermoanaerobacter,35-85,35,85
Thermovenabulum,45-76,45,76
Thermoactinomyces,50-55,50,55
Laceyella,48-55,48,55
Mechercharimyces,30,30,30
Planifilum,53-63,53,63
Seinonella,35,35,35
Shimazuella,32,32,32
Thermoflavimicrobium,55,55,55
Sporobacterium,37-40,37,40
Parasporobacterium,34-37,34,37
Sporobacter,32-35,32,35
Eubacterium,39-41,39,41
Sporotomaculum,30,30,30
Peptococcus,Mesophilic,20,45
Cryptaerobacter,Mesophilic,20,45
Dehalobacter,Mesophilic,20,45
Desulfitobacterium,Mesophilic,20,45
Desulfonispora,Mesophilic,20,45
Desulfosporosinus,Mesophilic,20,45
Desulfotomaculum(1),Mesophilic,20,45
Desulfotomaculum(2),thermophilic,41,122
Pelotomaculum(1),Mesophilic,20,45
Pelotomaculum(2),thermophilic,41,122
Sporomaculum,Mesophilic,20,45
Syntrophobotulus,Mesophilic,20,45
Thermincola,Thermophilic,41,122
